,GPA_NO,TOFEL,SATI,RankGroup,result
1966,97.5,90,1830,2,1
1967,97.5,90,1830,2,-1
1968,97.5,90,1830,2,-1
1969,97.5,98,1870,2,1
1970,97.5,98,1870,2,-1
1971,97.5,86,1850,3,1
1972,97.5,86,1850,2,-1
1973,97.5,86,1850,2,-1
1974,97.5,86,1850,3,-1
1975,97.5,98,1570,2,1
1976,97.5,98,1570,3,-1
1977,97.5,87,1670,3,1
1978,97.5,87,1670,2,-1
1979,97.5,90,1810,2,1
1980,97.5,90,1810,2,1
1981,97.5,90,1810,3,1
1982,97.5,90,1810,3,1
1983,97.5,90,1810,3,1
1984,97.5,90,1810,3,1
1985,97.5,90,1810,3,1
1986,97.5,90,1810,3,1
1987,97.5,90,1810,2,-1
1988,97.5,90,1810,3,-1
1989,97.5,90,1810,3,1
1990,93,100,1800,2,1
1991,93,100,1800,2,-1
1992,93,100,1800,2,-1
1993,93,100,1800,2,-1
1994,93,100,1800,2,-1
1995,93,100,1800,2,1
1996,90,95,1820,2,1
1997,90,95,1820,2,-1
1998,90,95,1820,2,-1
1999,90,95,1820,2,-1
2000,96,96,1800,2,1
2001,96,96,1800,2,1
2002,96,96,1800,2,-1
2003,96,96,1800,2,-1
2004,94,101,1840,2,1
2005,94,101,1840,2,-1
2006,94,101,1840,2,-1
2007,94,101,1840,2,1
2008,94,101,1840,2,1
2009,94,101,1840,2,1
2010,94,101,1840,2,-1
2011,94,101,1840,2,-1
2012,94,101,1840,2,-1
2013,100,101,1960,2,-1
2014,100,101,1960,2,1
2015,100,101,1960,2,-1
2016,100,101,1960,2,1
2017,100,101,1960,2,-1
2018,100,101,1960,2,1
2019,86,90,1670,2,1
2020,86,90,1670,2,-1
2021,86,90,1670,2,-1
2022,90,97,1910,2,1
2023,90,97,1910,2,1
2024,90,97,1910,2,1
2025,90,97,1910,2,-1
2026,90,97,1910,2,-1
2027,93,95,1750,2,1
2028,93,95,1750,2,1
2029,93,95,1750,2,-1
2030,93,90,1720,2,1
2031,93,90,1720,2,1
2032,93,90,1720,2,1
2033,93,90,1720,2,-1
2034,93,90,1720,2,-1
2035,93,90,1720,2,-1
2036,87.5,103,1910,2,1
2037,87.5,103,1910,2,1
2038,87.5,103,1910,2,-1
2039,87.5,103,1910,2,-1
2040,93,92,1770,2,1
2041,93,92,1770,2,-1
2042,93,92,1770,3,1
2043,93,92,1770,3,1
2044,93,92,1770,3,-1
2045,93,92,1770,3,-1
2046,93,92,1770,3,1
2047,93,92,1770,3,1
2048,95,98,1850,2,-1
2049,95,98,1850,2,-1
2050,95,98,1850,2,1
2051,95,98,1850,2,1
2052,95,98,1850,3,1
2053,95,98,1850,3,1
2054,94,86,1750,2,-1
2055,94,86,1750,3,1
2056,94,86,1750,3,1
2057,94,86,1750,3,1
2058,94,86,1750,3,1
2059,94,86,1750,3,1
2060,94,86,1750,3,1
2061,95,84,1630,3,1
2062,95,84,1630,3,1
2063,95,84,1630,2,-1
2064,96,85,1660,3,-1
2065,96,85,1660,3,1
2066,90,91,1840,3,1
2067,90,91,1840,2,-1
2068,90,91,1840,2,-1
2069,90,91,1840,3,1
2070,90,81,1840,3,1
2071,90,81,1840,3,1
2072,90,81,1840,3,1
2073,90,94,1850,2,-1
2074,90,94,1850,2,1
2075,90,94,1850,2,1
2076,90,94,1850,2,-1
2077,90,94,1850,2,-1
2078,95,103,1930,2,-1
2079,95,103,1930,2,-1
2080,95,103,1930,2,-1
2081,95,103,1930,2,-1
2082,95,103,1930,2,1
2083,95,103,1930,2,1
2084,95,94,1860,2,-1
2085,95,94,1860,3,1
2086,95,94,1860,3,1
2087,95,94,1860,3,1
2088,95,96,1880,3,1
2089,95,96,1880,2,1
2090,91,78,1610,3,1
2091,92,98,1760,2,1
2092,94,87,1780,3,1
2093,93,79,1750,3,1
2094,91,90,1920,3,1
2095,91,78,1670,3,1
2096,93,89,1710,3,1
2097,93,89,1710,3,1
2098,93,89,1710,3,1
2099,93,89,1710,3,1
2100,87,97,1790,2,1
2101,87,97,1790,3,1
2102,87,97,1790,3,1
2103,87,97,1790,3,1
2104,87,97,1790,3,1
2105,95,92,1960,2,1
2106,95,92,1960,3,1
2107,95,92,1960,3,1
2108,95,92,1960,3,1
2109,97,96,2050,2,-1
2110,97,96,2050,2,1
2111,97,96,2050,2,-1
2112,97,96,2050,2,1
2113,97,96,2050,2,1
2114,97,96,2050,2,1
2115,97,96,2050,3,1
2116,95,98,1920,3,-1
2117,95,98,1920,2,-1
2118,95,98,1920,2,-1
2119,95,98,1920,2,1
2120,95,98,1920,2,-1
2121,95,98,1920,2,1
2122,95,98,1920,2,-1
2123,95,98,1920,3,1
2124,95,98,1920,2,1
2125,95,98,1920,3,1
2126,95,102,1880,1,1
2127,95,102,1880,1,1
2128,95,102,1880,2,1
2129,95,102,1880,2,-1
2130,95,102,1880,2,-1
